drug	bbb_Target	bbb_MechanismOfAction	bbb_CurrentlyApprovedForGBM	bbb_ClinicalExperienceInGBM	bbb_ClinicalExperiencePMIDOrClinicalTrialID	bbb_FDAapprovalDocuments	bbb_BBBPubmedID	bbb_BBBCitation	bbb_BBBInformation	bbb_ExperimentalEvidenceBBB	bbb_CNSActivityPredictionScoreMPOAnalysis	bbb_CNSActivityPredictionClassification	bbb_MDR_ABCB1_BCRP_ABCG2_substrate	bbb_TransporterSubstrate	bbb_TransporterInhibitor	bbb_EffluxPumpText	bbb_EffluxPubmedID	bbb_EffluxCitation	bbb_InfluxTransporterSubstrate	bbb_UptakeTransporterText	bbb_UptakeTransporterPubmedID	bbb_UptakeTransporterCitation	bbb_AdverseEffects	bbb_Drug_DrugInteractions	bbb_CYP450Substrate	bbb_CYP450Inhibitor	bbb_CYP450Inducer	bbb_FDAApprovalStatus	bbb_MPOValueClogP	bbb_MPOValueClogD	bbb_MPOValueTPSA	bbb_MPOValueMW	bbb_MPOValueHBD	bbb_MPOValuepKa	bbb_MPOT0ClogP	bbb_MPOT0ClogD	bbb_MPOT0TPSA	bbb_MPOT0MW	bbb_MPOT0HBD	bbb_MPOT0pKa	bbb_QikPropCNSActivity	bbb_QikPropmolMW	bbb_QPlogBB	bbb_QPlogKhsa	bbb_QPPCaco	bbb_QPPMDCK	bbb_RuleOfFive	bbb_QikPropBBBPlus	bbb_UptakeTransporterSubstrate	bbb_UptakeTransporterInhibitor	bbb_RouteofAdministration	bbb_BrandName
Abiraterone acetate	CYP17	Abiraterone is an orally active inhibitor of the steroidal enzyme CYP17A1 (17 alpha-hydroxylase/C17,20 lyase). It inhibits CYP17A1 in a selective and irreversible manner via covalent binding mechanism. CYP17A1 is an enzyme that catalyzes the biosynthesis of androgen and is highly expressed in testicular, adrenal, and prostatic tumor tissue. More specifically, abiraterone inhibits the conversion of 17-hydroxyprognenolone to dehydroepiandrosterone (DHEA) by the enzyme CYP17A1 to decrease serum levels of testosterone and other androgens. 	NO	unspecified	unspecified	Abiraterone acetate crosses blood:brain barrier; detected in CNS for 24h post-dose	http://www.ncbi.nlm.nih.gov/pubmed/?term=23231520	Caffo O, Future Oncology 2012, 8:1585-1595	Abiraterone has proved to be active in docetaxel-pretreated patients and reaches brain concentrations that are five- to nine-times its concentration in blood.	YES	3.721428571	NEUTRAL	unspecified	unspecified	ABCC1; ABCB1	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	Adrenocortical insufficiency, Hepatotoxicity, Mineralocorticoid excess	Afatinib, Aripiprazole, Avanafil, Bosutinib, Bosutinib, Budesonide (Systemic, Oral Inhalation), Carvedilol, Citalopram, Clopidogrel, Codeine, Colchicine, Colchicine, Conivaptan, CYP1A2 Substrates, CYP2C19 Substrates, CYP2C8 Substrates, CYP2C9 Substrates, CYP2D6 Substrates, CYP3A4 Inducers (Strong), CYP3A4 Inhibitors (Moderate), CYP3A4 Inhibitors (Strong), CYP3A4 Substrates, Dabigatran Etexilate, Dabrafenib, Dasatinib, Deferasirox, Dofetilide, Enzalutamide, Eplerenone, Everolimus, Everolimus, Fentanyl, Fesoterodine, Halofantrine, Herbs (CYP3A4 Inducers), Ifosfamide, Ivabradine, Ivacaftor, Ivacaftor, Lomitapide, Lurasidone, Metoprolol, Mifepristone, Nebivolol, P-glycoprotein/ABCB1 Substrates, Pazopanib, Pimecrolimus, Pimozide, Pioglitazone, Pomalidomide, Propafenone, Propafenone, Prucalopride, Ranolazine, Rivaroxaban, Salmeterol, Saxagliptin, Silodosin, Spironolactone, Tamoxifen, Thioridazine, Tocilizumab, Tolvaptan, Topotecan, Tramadol, Treprostinil, Ulipristal, Vilazodone, Vincristine (Liposomal), Zuclopenthixol	CYP3A4	CYP1A2, CYP2C19, CYP2C8, CYP2C9, CYP2D6, CYP3A4	unspecified	FDA Approved	6.55	6.55	39	392	0	5.31	0	0	0.95	0.771428571	1	1	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	Oral	unspecified
Abraxane	Anti-tubulin agent	Paclitaxel, the active ingredient of nanoparticle, albumin-bound (nab) paclitaxel, is an antimicrotubule agent that promotes the assembly and stabilization of microtubules, thus inhibiting normal dynamic reorganization of the microtubule network.	NO	unspecified	unspecified	No FDA review documents available online.	http://www.ncbi.nlm.nih.gov/pubmed/?term=21603258	Vishnu P, Breast Cancer (Auckl) 2011, 5:53–65	nAb-paclitaxel does not penetrate blood brain barrier	NO	unspecified	unspecified	yes	ABCB1	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	Bone marrow suppresion, Hypersensitivity, Neuropathy, Pneumonitis, Sepsis	Amphotericin B, Antineoplastic Agents (Anthracycline, Systemic), Aripiprazole, Axitinib, BCG, Cardiac Glycosides, Clozapine, Coccidioidin Skin Test, Conivaptan, CYP2C8 Inducers (Strong), CYP2C8 Inhibitors (Moderate), CYP2C8 Inhibitors (Strong), CYP3A4 Inducers (Strong), CYP3A4 Inhibitors (Moderate), CYP3A4 Inhibitors (Strong), Dabrafenib, Dabrafenib, Dasatinib, Deferasirox, Deferasirox, Denosumab, Doxorubicin, Echinacea, Herbs (CYP3A4 Inducers), Ivacaftor, Leflunomide, Mifepristone, Mifepristone, Natalizumab, P-glycoprotein/ABCB1 Inducers, P-glycoprotein/ABCB1 Inhibitors, Pimecrolimus, Platinum Derivatives, Roflumilast, Saxagliptin, Sipuleucel-T, Tacrolimus (Topical), Tocilizumab, Tofacitinib, Trastuzumab, Vaccines (Inactivated), Vaccines (Live), Vinorelbine, Vitamin K Antagonists	CYP2C8, CYP3A4	unspecified	CYP3A4	FDA Approved	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	IV	Abraxane
Actinomycin D	DNA transcription suppressor	Actinomycin D binds DNA at the transcription initiation complex and prevents elongation of RNA chain by RNA polymerase.	NO	unspecified	unspecified	Results of a study in patients with malignant melanoma indicate that Dactinomycin (3H-actinomycin D) is minimally metabolized, is concentrated in nucleated cells, and does not penetrate the blood brain barrier.	http://www.ncbi.nlm.nih.gov/pubmed/?term=1139861	Tattersall M, Clin Pharmacol Ther 1975, 17:701-708	There was evidence that the drug [actinomycin D] was concentrated in bone marrow and tumor cells, but did not readily cross the blood-brain barrier. FDA approval document: Results of a study in patients with malignant melanoma indicate that Dactinomycin (3H-actinomycin D) is minimally metabolized, is concentrated in nucleated cells, and does not penetrate the blood brain barrier.	NO	2.53	NO	yes	ABCB1; ABCC6; ABCC1; ABCG2; ABCC2	ABCB1	Actinomycin D efflux over 2 h was most pronounced in MDCKII-ABCB1 cells, with 5.5-fold lower intracellular levels compared to WT. While comparable actinomycin D concentrations were observed in the kidneys and livers of Abcb1a/1b(-/-) and Abcc2(-/-) mice, concentrations in the brain were significantly higher at 6h following drug administration in Abcb1a/1b(-/-) mice compared to WT. Results confirm actinomycin D as a substrate for ABCB1, ABCC1 and ABCC2, and indicate that Abcb1a/1b and Abcc2 can influence the in vivo disposition of actinomycin D. 	http://www.ncbi.nlm.nih.gov/pubmed/?term=23063411	Hill C, Biochem Pharmacol 2013, 85:29-37	unspecified	unspecified	unspecified	unspecified	Extravasation, Hepatotoxicity, Secondary malignancies, Toxic effects	Amphotericin B, BCG, Clozapine, Coccidioidin Skin Test, Denosumab, Echinacea, Leflunomide, Natalizumab, Pimecrolimus, Roflumilast, Sipuleucel-T, Tacrolimus (Topical), Tofacitinib, Trastuzumab, Vaccines (Inactivated), Vaccines (Live) 	unspecified	unspecified	unspecified	FDA Approved	-4.03	-4.04	356	1255	6	8.94	1	1	0	0	0	0.53	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	 SLC22A5	IV	Cosmegen
Ado-trastuzumab emtansine 	HER2 and chemotherapy (DM1)	Ado-trastuzumab emtansine is a HER2 antibody drug conjugate. The antibody portion is trastuzumab, which is humanized anti-HER2 IgG1, and produced in the mammalian Chinese Hamster Ovary cells. The drug portion is DM1, which is a maytansine derivative that inhibits microtubules. These two portions are covalently connected by 4-[N-maleimidomethyl] cyclohexane-1-carboxylate (MCC), which is a stable thioether linker. Together MCC and DM1 are called emtansine and are produced by chemical synthesis. Ado-trastuzumab emtansine binds to the HER2 receptor’s sub-domain IV and goes into the cell by receptor-mediated endocytosis. Lysosomes degrade ado-trastuzumab emtansine and release DM1. DM1 binds to tubulin in microtubules and inhibits microtubule function producing cell arrest and apoptosis. As well, similar to trastuzumab, in vitro studies have shown that both HER2 receptor signalling inhibition and antibody-dependent cytotoxicity are mediated by ado-trastuzumab emtansine. 	NO	unspecified	unspecified	The study report says that highest percentage of the radioactive dose was in the blood compartment at 1 day post-dose (2.85 percent of injected drug [ID]) followed by the highly perfused organs in the order; lungs, liver, kidney, heart, bone marrow, spleen. No radioactivity was detected in the brain at any time.	unspecified	unspecified	unspecified	NO	unspecified	unspecified	yes	ABCB1	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	Bone marrow suppression, Cardiotoxicity, Extravasation reactions, Hepatotoxicity, Hypersensitivity/infusion-related reactions, Peripheral neuropathy, Pulmonary toxicity, 	Abciximab, Amphotericin B, BCG, Belimumab, Cardiac Glycosides, Clozapine, Coccidioidin Skin Test, CYP3A4 Inhibitors (Moderate), CYP3A4 Inhibitors (Strong), Dasatinib, Denosumab, Echinacea, Ivacaftor, Leflunomide, Mifepristone, Natalizumab, Pimecrolimus, Roflumilast, Sipuleucel-T, Tacrolimus (Topical), Tofacitinib, Trastuzumab, Vaccines (Inactivated), Vaccines (Live), Vitamin K Antagonists	CYP3A4	unspecified	unspecified	FDA Approved	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	IV	Kadcyla
Afatinib	EGFR (and mutants), ErbB2, ErbB4	Afatinib selectively and irreversibly binds to and inhibits the epidermal growth factor receptors 1 (ErbB1; EGFR), 2 (ErbB2; HER2), and 4 (ErbB4; HER4), and certain EGFR mutants, including those caused by EGFR exon 19 deletion mutations or exon 21 (L858R) mutations. This may result in the inhibition of tumor growth and angiogenesis in tumor cells overexpressing these RTKs. Additionally, afatinib inhibits the EGFR T790M gatekeeper mutation which is resistant to treatment with first-generation EGFR inhibitors.	NO	ongoing Phase 1 study	http://www.clinicaltrials.gov/ct2/results?term=NCT00977431	Distribution to the brain was low in all assays.	unspecified	unspecified	unspecified	NO	3.78	NEUTRAL	yes	ABCB1; ABCG2	ABCB1; ABCG2	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	Dermatologic toxicity, Gastrointestinal toxicity, Hepatotoxicity, Ocular toxicity, Pulmonary toxicity	Amphotericin B, Cardiac Glycosides, P-glycoprotein/ABCB1 Inducers, P-glycoprotein/ABCB1 Inhibitors, Porfimer, Vitamin K Antagonists 	unspecified	unspecified	unspecified	FDA Approved	3.59	3.04	89	486	2	8.01	0.705	0.48	1	0.1	0.5	0.995	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	Oral	Gilotrif
Aflibercept	VEGF ligand	Also known as VEGF-trap, ziv-aflibercept is a recombinant fusion protein which is comprised of portions of binding domains for vascular endothelial growth factor (VEGF) receptors 1 and 2, attached to the Fc portion of human IgG1. Ziv-aflibercept acts as a decoy receptor for VEGF-A, VEGF-B, and placental growth factor (PlGF) which prevent VEGF receptor binding/activation to their receptors (an action critical to angiogenesis), thus leading to antiangiogenesis and tumor regression	NO	Aflibercept monotherapy has moderate toxicity and minimal evidence of single-agent activity in unselected patients with recurrent malignant glioma.	http://www.ncbi.nlm.nih.gov/pubmed/?term=21606416	No CNS distribution information available.	http://www.ncbi.nlm.nih.gov/pubmed/?term=21179528	Helliwell C, Ther Adv Neurol Disord 2009, 2:195-203	It is very unlikely that significant amounts of monoclonal antibodies, injected intravenously, penetrate the CNS even in patients with active MS, in whom there will be several sites of breakdown of the blood—brain barrier. We have consistently been unable to detect Campath-1H in the cerebrospinal fluid of our patients (unpublished observations). There have also been many reports of induction of brain metastases in women with a good systemic response to trastuzumab for HER-2 positive breast cancer [Lindrud et al. 2003], suggesting not only that the antibody does not penetrate the blood—brain barrier, but also that a ‘safe haven’ for metastases is promoted.	NO	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	Bone marrow suppression, Diarrhea, Fistula formation, Hemorrhage, Hypertension, Proteinuria/nephrotic syndrome, Reversible posterio leukoencephalopathy syndrome, Thromboembolism, Wound healing impairment	unspecified	unspecified	unspecified	unspecified	FDA Approved	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	IV	Zaltrap
Aldesleukin	rhIL-2	recombinant interleukin-2 with inhibitory effects on tumour growth. It has been associated with multiple immunologic effects, including activation of cellular immunity with profound lyphocytosis, eosinophilia, and thrombocytopenia, as well as production of cytokines including tumour necrosis factor, interleukin-1, and gamma interferon	NO	Phase I clinical trial, as a single-dose toxicity assessment, to test the intracavitary placement of alloreactive CTL and human recombinant interleukin-2 (IL-2) for treatment of recurrent malignant glioma. Conclusion: With the small number of patients treated it is impossible at this point to know if brain tumor patients are responding to the therapy, although MRI and neurological follow-up of three of the patients is encouraging.	http://www.ncbi.nlm.nih.gov/pubmed/?term=9390198	No CNS distribution information available.	http://www.ncbi.nlm.nih.gov/pubmed/?term=3259980	Saris S, J Neurosurg 1988, 69:29-34	The CSF pharmacokinetics contrast with the rapid elimination of rIL-2 from plasma and demonstrate significant blood-CSF barrier penetration. These data support the possibility of achieving CSF levels of rIL-2 that are adequate to maintain activity of lymphokine-activated killer cells after parenteral administration, and argue for rIL-2-associated disruption of the human blood-brain barrier in some patients.	YES	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	Capillary leak syndrome, CNS toxicity, Infections	Clozapine, Contrast Media (Non-ionic), Corticosteroids, Hypotensive Agents, Interferons (Alfa)	unspecified	unspecified	unspecified	FDA Approved	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	IV	Proleukin
Alemtuzumab	CD52	recombinant human IgG-derived monoclonal antibody that binds to antigen CD52 which is found on the surface of B and T lymphocytes, most monocytes, macrophages and NK cells, and certain granulocytes, but not hematopoietic stem cells.2 Lysis of CD52-positive cells occurs via complement activation, antibody-dependent cytotoxicity, and apoptosis	NO	unspecified	unspecified	No CNS distribution information available.	http://www.ncbi.nlm.nih.gov/pubmed/?term=21179528	Helliwell C, Ther Adv Neurol Disord 2009, 2:195-203	It is very unlikely that significant amounts of monoclonal antibodies, injected intravenously, penetrate the CNS even in patients with active MS, in whom there will be several sites of breakdown of the blood—brain barrier. We have consistently been unable to detect Campath-1H in the cerebrospinal fluid of our patients (unpublished observations). There have also been many reports of induction of brain metastases in women with a good systemic response to trastuzumab for HER-2 positive breast cancer [Lindrud et al. 2003], suggesting not only that the antibody does not penetrate the blood—brain barrier, but also that a ‘safe haven’ for metastases is promoted.	NO	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	Bone marrow suppression, Immune thrombocytopenia, Infections, Infusion reactions	Abciximab, BCG, Belimumab, Clozapine, Coccidioidin Skin Test, Denosumab, Echinacea, Leflunomide, Natalizumab, Pimecrolimus, Roflumilast, Sipuleucel-T, Tacrolimus (Topical), Tofacitinib, Trastuzumab, Vaccines (Inactivated), Vaccines (Live) 	unspecified	unspecified	unspecified	FDA Approved	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	IV	Campath
Alitretinoin	Retinoid	Alitretinoin (9-cis-retinoic acid) is a naturally-occurring endogenous retinoid indicated for topical treatment of cutaneous lesions in patients with AIDS-related Kaposi's sarcoma. Alitretinoin inhibits the growth of Kaposi's sarcoma (KS) cells in vitro. Alitretinoin binds to and activates all known intracellular retinoid receptor subtypes (RARa, RARb, RARg, RXRa, RXRb and RXRg). Once activated these receptors function as transcription factors that regulate the expression of genes that control the process of cellular differentiation and proliferation in both normal and neoplastic cells.	NO	unspecified	unspecified	No CNS distribution information available.	http://www.ncbi.nlm.nih.gov/pubmed/?term=10640519	Le Doze F, Drug Metab Dispos 2000, 28:205-208	The movement of ATRA from blood to the WM was very large, possibly involving a conceivable large, rapid penetration of tumor cells in glioma; less 13-cis RA (isotretinoin) crossed the blood-brain barrier so that the concentrations in the malignant glioma were lower for a shorter time. 	YES	3.683333333	NEUTRAL	yes	ABCB1	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	Dermatologic effects, Hepatic effects, Hypercholestrolemia/hypertriglyceridemia, Inflammatory bowel disease, Intracranial hypertension, Musculoskeletal effects, Ocular effects, Psychiatric effects, Thyroid effects	Carbamazepine, Conivaptan, Contraceptives (Estrogens), Contraceptives (Progestins), CYP3A4 Inhibitors (Moderate), CYP3A4 Inhibitors (Strong), Dasatinib, Ivacaftor, Methotrexate, Mifepristone, Multivitamins/Fluoride (with ADE), Multivitamins/Minerals (with ADEK, Folate, Iron), Multivitamins/Minerals (with AE, No Iron), Porfimer, Tetracycline Derivatives, Tigecycline, Vitamin A	CYP3A4	unspecified	unspecified	FDA Approved	6.83	4.19	37	300	1	4.73	0	0	0.85	1	0.833333333	1	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	Oral	Toctino
Altretamine	Alkylating agent	Altretamine structurally resembles alkylating agents, although has demonstrated activity in tumors resistant to classic alkylating agents. Cytotoxic effect not fully characterized, however it is theorized that metabolically activated oxidative N-demethylation intermediates bind to and damage DNA	NO	unspecified	unspecified	No FDA review documents available online.	http://www.ncbi.nlm.nih.gov/pubmed/?term=7656502	Damia G, Clin Pharmacokinet 1995, 28:439-448	rapid formation of the N-demethylated metabolites, which cross the blood-brain barrier, might be responsible for the neurotoxicity	YES	5.673333333	YES	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	Bone marrow suppression, Neurotoxicity	Amphotericin B, BCG, Clozapine, Coccidioidin Skin Test, Denosumab, Echinacea, Leflunomide, MAO Inhibitors, MAO Inhibitors, Multivitamins/Fluoride (with ADE), Multivitamins/Minerals (with ADEK, Folate, Iron), Multivitamins/Minerals (with AE, No Iron), Natalizumab, Pimecrolimus, Pyridoxine, Roflumilast, Sipuleucel-T, Tacrolimus (Topical), Tofacitinib, Trastuzumab, Tricyclic Antidepressants, Vaccines (Inactivated), Vaccines (Live)	unspecified	unspecified	unspecified	FDA Approved	2.42	2.32	48	210	1	6.81	1	0.84	1	1	0.833333333	1	-2	192.139	-1.155	-0.807	9906.038	5899.293	0	No	unspecified	unspecified	Oral	Hexalen
