drug	drug_trade_name	biomarker_type	biomarker_symbol	biomarker_entrez	biomarker_transcript_id	biomarker_aberration_type	biomarker_aberration_value	modifier_type	modifier_symbol	modifier_entrez	modifier_transcript_id	modifier_aberration_type	modifier_aberration_value	indication	evidence	url	evidence_text	qualifying_text	reference	disease	regex_annotate.interproDomain
Cisplatin	unspecified	EMPTY	EMPTY	EMPTY	EMPTY	EMPTY	EMPTY	gene	ATRX	546	EMPTY	exp	under	yes	inferred	http://www.ncbi.nlm.nih.gov/pubmed/23284920	In this study, we developed primary cell cultures from Atrxf/f mice and infected them with Adenovirus expressing either Cre or LacZ to investigate how ATRX regulates cell survival in an otherwise genetically identical background. We demonstrate that multiple primary cell types (myoblasts, embryonic fibroblasts and neurospheres) were sensitive to 5-FU, cisplatin, and UV light treatment. Together, our results suggest that cells lacking Atrx are more sensitive to DNA damaging agents and that this may result in enhanced death during development when cells are at their proliferative peak. We observed a general sensitivity to DNA damaging agents that could be rescued by removing p53, suggesting that Atrx plays a role in maintaining DNA integrity and preventing activation of p53-mediated apoptosis. Moreover, it identifies potential treatment options for cancers associated with ATRX mutations, including glioblastoma and pancreatic neuroendocrine tumors.	unspecified	Conte D, Plos One 2012, 7:e52167	unspecified	
Cisplatin	unspecified	EMPTY	EMPTY	EMPTY	EMPTY	EMPTY	EMPTY	gene	ATRX	546	EMPTY	cnv	loss	yes	inferred	http://www.ncbi.nlm.nih.gov/pubmed/23284920	In this study, we developed primary cell cultures from Atrxf/f mice and infected them with Adenovirus expressing either Cre or LacZ to investigate how ATRX regulates cell survival in an otherwise genetically identical background. We demonstrate that multiple primary cell types (myoblasts, embryonic fibroblasts and neurospheres) were sensitive to 5-FU, cisplatin, and UV light treatment. Together, our results suggest that cells lacking Atrx are more sensitive to DNA damaging agents and that this may result in enhanced death during development when cells are at their proliferative peak. We observed a general sensitivity to DNA damaging agents that could be rescued by removing p53, suggesting that Atrx plays a role in maintaining DNA integrity and preventing activation of p53-mediated apoptosis. Moreover, it identifies potential treatment options for cancers associated with ATRX mutations, including glioblastoma and pancreatic neuroendocrine tumors.	unspecified	Conte D, Plos One 2012, 7:e52167	unspecified	
Cisplatin	unspecified	EMPTY	EMPTY	EMPTY	EMPTY	EMPTY	EMPTY	gene	ATRX	546	EMPTY	snv	change	yes	inferred	http://www.ncbi.nlm.nih.gov/pubmed/23284920	In this study, we developed primary cell cultures from Atrxf/f mice and infected them with Adenovirus expressing either Cre or LacZ to investigate how ATRX regulates cell survival in an otherwise genetically identical background. We demonstrate that multiple primary cell types (myoblasts, embryonic fibroblasts and neurospheres) were sensitive to 5-FU, cisplatin, and UV light treatment. Together, our results suggest that cells lacking Atrx are more sensitive to DNA damaging agents and that this may result in enhanced death during development when cells are at their proliferative peak. We observed a general sensitivity to DNA damaging agents that could be rescued by removing p53, suggesting that Atrx plays a role in maintaining DNA integrity and preventing activation of p53-mediated apoptosis. Moreover, it identifies potential treatment options for cancers associated with ATRX mutations, including glioblastoma and pancreatic neuroendocrine tumors.	SNVs are loss-of-function and associated with drug sensitivity. However, not all SNVs may result in loss-of-function.	Conte D, Plos One 2012, 7:e52167	unspecified	
Fluorouracil	Adrucil	EMPTY	EMPTY	EMPTY	EMPTY	EMPTY	EMPTY	gene	ATRX	546	EMPTY	exp	under	yes	inferred	http://www.ncbi.nlm.nih.gov/pubmed/23284920	In this study, we developed primary cell cultures from Atrxf/f mice and infected them with Adenovirus expressing either Cre or LacZ to investigate how ATRX regulates cell survival in an otherwise genetically identical background. We observed that survival of Atrx-null cells were similar to wild type cells in response to serum withdrawal, anti-Fas antibody, C2 ceramide or dexamethasone treatment but were more sensitive to 5-fluorouracil (5-FU). Together, our results suggest that cells lacking Atrx are more sensitive to DNA damaging agents and that this may result in enhanced death during development when cells are at their proliferative peak. We observed a general sensitivity to DNA damaging agents that could be rescued by removing p53, suggesting that Atrx plays a role in maintaining DNA integrity and preventing activation of p53-mediated apoptosis. Moreover, it identifies potential treatment options for cancers associated with ATRX mutations, including glioblastoma and pancreatic neuroendocrine tumors.	unspecified	Conte D, Plos One 2012, 7:e52167	unspecified	
Fluorouracil	Adrucil	EMPTY	EMPTY	EMPTY	EMPTY	EMPTY	EMPTY	gene	ATRX	546	EMPTY	cnv	loss	yes	inferred	http://www.ncbi.nlm.nih.gov/pubmed/23284920	In this study, we developed primary cell cultures from Atrxf/f mice and infected them with Adenovirus expressing either Cre or LacZ to investigate how ATRX regulates cell survival in an otherwise genetically identical background. We observed that survival of Atrx-null cells were similar to wild type cells in response to serum withdrawal, anti-Fas antibody, C2 ceramide or dexamethasone treatment but were more sensitive to 5-fluorouracil (5-FU). Together, our results suggest that cells lacking Atrx are more sensitive to DNA damaging agents and that this may result in enhanced death during development when cells are at their proliferative peak. We observed a general sensitivity to DNA damaging agents that could be rescued by removing p53, suggesting that Atrx plays a role in maintaining DNA integrity and preventing activation of p53-mediated apoptosis. Moreover, it identifies potential treatment options for cancers associated with ATRX mutations, including glioblastoma and pancreatic neuroendocrine tumors.	unspecified	Conte D, Plos One 2012, 7:e52167	unspecified	
Fluorouracil	Adrucil	EMPTY	EMPTY	EMPTY	EMPTY	EMPTY	EMPTY	gene	ATRX	546	EMPTY	snv	change	yes	inferred	http://www.ncbi.nlm.nih.gov/pubmed/23284920	In this study, we developed primary cell cultures from Atrxf/f mice and infected them with Adenovirus expressing either Cre or LacZ to investigate how ATRX regulates cell survival in an otherwise genetically identical background. We observed that survival of Atrx-null cells were similar to wild type cells in response to serum withdrawal, anti-Fas antibody, C2 ceramide or dexamethasone treatment but were more sensitive to 5-fluorouracil (5-FU). Together, our results suggest that cells lacking Atrx are more sensitive to DNA damaging agents and that this may result in enhanced death during development when cells are at their proliferative peak. We observed a general sensitivity to DNA damaging agents that could be rescued by removing p53, suggesting that Atrx plays a role in maintaining DNA integrity and preventing activation of p53-mediated apoptosis. Moreover, it identifies potential treatment options for cancers associated with ATRX mutations, including glioblastoma and pancreatic neuroendocrine tumors.	SNVs are loss-of-function and associated with drug sensitivity. However, not all SNVs may result in loss-of-function.	Conte D, Plos One 2012, 7:e52167	unspecified	
Carboplatin	unspecified	EMPTY	EMPTY	EMPTY	EMPTY	EMPTY	EMPTY	gene	ATRX	546	EMPTY	exp	under	yes	inferred	http://www.ncbi.nlm.nih.gov/pubmed/23284920	In this study, we developed primary cell cultures from Atrxf/f mice and infected them with Adenovirus expressing either Cre or LacZ to investigate how ATRX regulates cell survival in an otherwise genetically identical background. We demonstrate that multiple primary cell types (myoblasts, embryonic fibroblasts and neurospheres) were sensitive to 5-FU, cisplatin, and UV light treatment. Together, our results suggest that cells lacking Atrx are more sensitive to DNA damaging agents and that this may result in enhanced death during development when cells are at their proliferative peak. We observed a general sensitivity to DNA damaging agents that could be rescued by removing p53, suggesting that Atrx plays a role in maintaining DNA integrity and preventing activation of p53-mediated apoptosis. Moreover, it identifies potential treatment options for cancers associated with ATRX mutations, including glioblastoma and pancreatic neuroendocrine tumors.	Drug class association with cisplatin.	Conte D, Plos One 2012, 7:e52167	unspecified	
Carboplatin	unspecified	EMPTY	EMPTY	EMPTY	EMPTY	EMPTY	EMPTY	gene	ATRX	546	EMPTY	cnv	loss	yes	inferred	http://www.ncbi.nlm.nih.gov/pubmed/23284920	In this study, we developed primary cell cultures from Atrxf/f mice and infected them with Adenovirus expressing either Cre or LacZ to investigate how ATRX regulates cell survival in an otherwise genetically identical background. We demonstrate that multiple primary cell types (myoblasts, embryonic fibroblasts and neurospheres) were sensitive to 5-FU, cisplatin, and UV light treatment. Together, our results suggest that cells lacking Atrx are more sensitive to DNA damaging agents and that this may result in enhanced death during development when cells are at their proliferative peak. We observed a general sensitivity to DNA damaging agents that could be rescued by removing p53, suggesting that Atrx plays a role in maintaining DNA integrity and preventing activation of p53-mediated apoptosis. Moreover, it identifies potential treatment options for cancers associated with ATRX mutations, including glioblastoma and pancreatic neuroendocrine tumors.	Drug class association with cisplatin.	Conte D, Plos One 2012, 7:e52167	unspecified	
Carboplatin	unspecified	EMPTY	EMPTY	EMPTY	EMPTY	EMPTY	EMPTY	gene	ATRX	546	EMPTY	snv	change	yes	inferred	http://www.ncbi.nlm.nih.gov/pubmed/23284920	In this study, we developed primary cell cultures from Atrxf/f mice and infected them with Adenovirus expressing either Cre or LacZ to investigate how ATRX regulates cell survival in an otherwise genetically identical background. We demonstrate that multiple primary cell types (myoblasts, embryonic fibroblasts and neurospheres) were sensitive to 5-FU, cisplatin, and UV light treatment. Together, our results suggest that cells lacking Atrx are more sensitive to DNA damaging agents and that this may result in enhanced death during development when cells are at their proliferative peak. We observed a general sensitivity to DNA damaging agents that could be rescued by removing p53, suggesting that Atrx plays a role in maintaining DNA integrity and preventing activation of p53-mediated apoptosis. Moreover, it identifies potential treatment options for cancers associated with ATRX mutations, including glioblastoma and pancreatic neuroendocrine tumors.	Drug class association with cisplatin. SNVs are loss-of-function and associated with drug sensitivity. However, not all SNVs may result in loss-of-function.	Conte D, Plos One 2012, 7:e52167	unspecified	
Oxaliplatin	Eloxatin	EMPTY	EMPTY	EMPTY	EMPTY	EMPTY	EMPTY	gene	ATRX	546	EMPTY	exp	under	yes	inferred	http://www.ncbi.nlm.nih.gov/pubmed/23284920	In this study, we developed primary cell cultures from Atrxf/f mice and infected them with Adenovirus expressing either Cre or LacZ to investigate how ATRX regulates cell survival in an otherwise genetically identical background. We demonstrate that multiple primary cell types (myoblasts, embryonic fibroblasts and neurospheres) were sensitive to 5-FU, cisplatin, and UV light treatment. Together, our results suggest that cells lacking Atrx are more sensitive to DNA damaging agents and that this may result in enhanced death during development when cells are at their proliferative peak. We observed a general sensitivity to DNA damaging agents that could be rescued by removing p53, suggesting that Atrx plays a role in maintaining DNA integrity and preventing activation of p53-mediated apoptosis. Moreover, it identifies potential treatment options for cancers associated with ATRX mutations, including glioblastoma and pancreatic neuroendocrine tumors.	Drug class association with cisplatin.	Conte D, Plos One 2012, 7:e52167	unspecified	
